Index;lambda_D;P_tau;P_tau_W;P_tau_S;lambda_A;P_t;r_plus;r_minus;O_D
25;20;60;20;40;10;100;1;1,5;1
26;20;60;20;40;10;100;0,9;1;1
27;20;60;20;40;10;50;1;1,5;1
28;20;60;20;40;10;50;0,9;1;1
29;20;60;20;40;23;100;1;1,5;1
30;20;60;20;40;23;100;0,9;1;1
31;20;60;20;40;23;50;1;1,5;1
32;20;60;20;40;23;50;0,9;1;1
33;20;60;40;20;10;100;1;1,5;1
34;20;60;40;20;10;100;0,9;1;1
35;20;60;40;20;10;50;1;1,5;1
36;20;60;40;20;10;50;0,9;1;1
37;20;60;40;20;23;100;1;1,5;1
38;20;60;40;20;23;100;0,9;1;1
39;20;60;40;20;23;50;1;1,5;1
40;20;60;40;20;23;50;0,9;1;1
49;20;30;10;20;10;40;1;1,5;1
50;20;30;10;20;10;40;0,9;1;1
51;20;30;10;20;10;0;1;1,5;1
52;20;30;10;20;10;0;0,9;1;1
53;20;30;10;20;23;40;1;1,5;1
54;20;30;10;20;23;40;0,9;1;1
55;20;30;10;20;23;0;1;1,5;1
56;20;30;10;20;23;0;0,9;1;1
57;20;30;20;10;10;40;1;1,5;1
58;20;30;20;10;10;40;0,9;1;1
59;20;30;20;10;10;0;1;1,5;1
60;20;30;20;10;10;0;0,9;1;1
61;20;30;20;10;23;40;1;1,5;1
62;20;30;20;10;23;40;0,9;1;1
63;20;30;20;10;23;0;1;1,5;1
64;20;30;20;10;23;0;0,9;1;1
1;50;60;20;40;40;100;1;1,5;2
2;50;60;20;40;40;100;0,9;1;2
3;50;60;20;40;40;50;1;1,5;2
4;50;60;20;40;40;50;0,9;1;2
5;50;60;20;40;53;100;1;1,5;2
6;50;60;20;40;53;100;0,9;1;2
7;50;60;20;40;53;50;1;1,5;2
8;50;60;20;40;53;50;0,9;1;2
9;50;60;40;20;40;100;1;1,5;2
10;50;60;40;20;40;100;0,9;1;2
11;50;60;40;20;40;50;1;1,5;2
12;50;60;40;20;40;50;0,9;1;2
13;50;60;40;20;53;100;1;1,5;2
14;50;60;40;20;53;100;0,9;1;2
15;50;60;40;20;53;50;1;1,5;2
16;50;60;40;20;53;50;0,9;1;2
17;50;30;10;20;40;40;1;1,5;2
18;50;30;10;20;40;40;0,9;1;2
19;50;30;10;20;40;0;1;1,5;2
20;50;30;10;20;40;0;0,9;1;2
21;50;30;10;20;53;40;1;1,5;2
22;50;30;10;20;53;40;0,9;1;2
23;50;30;10;20;53;0;1;1,5;2
24;50;30;10;20;53;0;0,9;1;2
41;50;30;20;10;40;40;1;1,5;2
42;50;30;20;10;40;40;0,9;1;2
43;50;30;20;10;40;0;1;1,5;2
44;50;30;20;10;40;0;0,9;1;2
45;50;30;20;10;53;40;1;1,5;2
46;50;30;20;10;53;40;0,9;1;2
47;50;30;20;10;53;0;1;1,5;2
48;50;30;20;10;53;0;0,9;1;2
